TaskBoardID,Discord ID,Verified,Moniker,Submission Link,Last Date Updated,filename,size
4384,Syd#9907,Accepted,Syd,"Submitted on the app, but in any case, alternative link if needed :<br />https://www.dropbox.com/s/xhgrzc4o68ny42o/Syd-agorictest17-chain.slog.zip?dl=0<br /><br />Also as explained in other tasks, it has to be noted that i had the kernel panic issue which made my node impossible to sync - i joined the xs-snapshots files on this comment : https://github.com/Agoric/testnet-notes/issues/33#issuecomment-906424431<br />",2021-08-26 10:31:00,2021-08-26T14:29:39.038Z-Syd#9907.slog.gz,1590593344.0
4501,VanSanten#2039,Accepted,VanSanten,https://storage.nodes.guru/VanSanten-agorictest17-chain.gz,2021-08-26 15:39:00,2021-08-26T19:31:43.795Z-VanSanten#2039.slog.gz,1791502281.0
4335,Vitalii#9679,Accepted,btsniik,agorictest17 - https://drive.google.com/file/d/1YWMI1QcGspSP0E8ZvKpeCT6-9T-djsQr/view?usp=sharing<br /><br />I downloaded slogfile on submit.agoric.app but archived file very big in this testnet phase and i downloaded also in google drive,2021-08-26 07:51:00,2021-08-26T11:48:53.989Z-Vitalii#9679.slog.gz,1830599317.0
4335,Vitalii#9679,Accepted,btsniik,agorictest17 - https://drive.google.com/file/d/1YWMI1QcGspSP0E8ZvKpeCT6-9T-djsQr/view?usp=sharing<br /><br />I downloaded slogfile on submit.agoric.app but archived file very big in this testnet phase and i downloaded also in google drive,2021-08-26 07:51:00,2021-08-26T18:22:25.567Z-Vitalii#9679.slog.gz,2308177920.0
4168,Vitconratran#7219,Accepted,botd0tnet,"Have problem with https://submit.agoric.app, i cant upload my slog (.gz) file.<br />So i uploaded it to the drive.<br />This is my slog file :<br />https://drive.google.com/file/d/1-Otmi1QZwiK0ZOEAaWcxjicOoZDwLJC2/view",2021-08-25 12:09:00,2021-08-25T16:25:40.536Z-Vitconratran#7219.slog.gz,1125869567.0
4168,Vitconratran#7219,Accepted,botd0tnet,"Have problem with https://submit.agoric.app, i cant upload my slog (.gz) file.<br />So i uploaded it to the drive.<br />This is my slog file :<br />https://drive.google.com/file/d/1-Otmi1QZwiK0ZOEAaWcxjicOoZDwLJC2/view",2021-08-25 12:09:00,2021-08-25T23:10:36.470Z-Vitconratran#7219.slog.gz,530235787.0
4555,Wanderer#1042,Accepted,Wanderer,"Here is the link to slog file, i was unable to upload such a big file to the https://submit.agoric.app/participant/slogForm<br /><br />Here is alternative link:<br />https://www.plustransfer.com/download.php?id=ac8537aa2e982edb36bfa87ae2066d21",2021-08-27 02:33:00,2021-08-27T06:30:20.217Z-Wanderer#1042.slog.gz,1168937174.0
4579,Yauheni#2576,Accepted,Shon1256,https://drive.google.com/file/d/1KRnFmmk_dl5wV4iAgocFOE284eaFVVtm/view?usp=sharing,2021-08-27 09:58:00,2021-08-27T12:53:57.589Z-Yauheni#2576.slog.gz,2173888586.0
4244,aderks#7408,Accepted,oracleminer,Submitted slog file on submit.agoric.app<br /><br />Google drive in case upload on submit.agoric.app didn't work out: <br /><br />https://drive.google.com/file/d/1S8q1xWNB-Ex3zvZjGFC28rgAfowMtOPc/view?usp=sharing,2021-08-26 01:10:00,2021-08-26T05:01:22.459Z-aderks#7408.slog.gz,1688469352.0
4645,aliefaisala#3118,Accepted,aliefaisala,Submitted.<br />File name : slogfile-upload-5/2021-08-27T14:16:50.612Z-aliefaisala#3118.slog.gz,2021-08-28 12:41:00,2021-08-27T14:16:50.612Z-aliefaisala#3118.slog.gz,338903739.0
