,TaskBoardID,Discord ID,Moniker,Status,jsonErr,Last Date Updated,moniker,delegator_address
37,3679,Jmunb#6752,DanielKiz,Completed,False,2021-08-16 12:48:00,DanielKiz,agoric13u8ej64ct8x2xpfxyqw7y36v8tnec7ezc45drk
38,3692,JoseCT | stakely.io#8451,JoseCT,Completed,False,2021-08-16 15:30:00,JoseCT,agoric1t0n6yqcl3jn5gdnast94knzh05y8049lj62s30
39,3763,KappaRoss#0321,KappaRoss,Completed,False,2021-08-17 11:53:00,KappaRoss,agoric1z750dgwka0rjqwl3av4jpw6v8e3ahvc6pgmj8z
40,3777,KingSuper#3702,KingSuper,Completed,False,2021-08-17 12:37:00,KingSuper,agoric1xjqr3x657gxkx6a6hexvp7pdrnnkt0rdl6quud
41,3749,Kirill S#3150,Agoric by QuantNode,Completed,False,2021-08-17 09:32:00,Agoric by QuantNode,agoric1rmuslghxz4v0t6enechkvdge7ek7dq5ldw8jem
42,3793,Koen#4700,MindHeartSoul,Obsolete,True,2021-08-17 14:01:00,,
43,3815,Koen#4700,MindHeartSoul,Completed,False,2021-08-18 20:38:00,MindHeartSoul,agoric1jyqz8f03k5anq5dvtkz87fmr3rzl2k0j3qyp9n
44,3782,Kosmos.Infrastructure#7451,Kosmos.Infrastructure,Completed,False,2021-08-17 13:06:00,Kosmos.Infrastructure,agoric1a7c8jc4al2wycehlj0r0zc65ej76g8fx2skh8c
45,3761,Kostya#3379,validators_support,Completed,False,2021-08-17 11:38:00,validators_support,agoric1x3mwn0ws0zevcht5h67m85ne3ycrcmx8fqpvu4
46,3735,KruGGoK#3986,KruGGoK,Completed,False,2021-08-17 06:45:00,KruGGoK,agoric13glq7t5u0lkpvv0tc8tmmpxvkzmzmk78dn9mza
47,3686,Legio#4947,legio,Completed,False,2021-08-16 13:31:00,legio,agoric1llkcnt96t2pnf27yza7cya4vw5d3le2u6qp826
48,3676,Liviu | Easy2Stake.com#2334,Easy2Stake,Completed,False,2021-08-16 12:42:00,Easy2Stake,agoric1kamhzmrju2sv4m4ef9h77l2qtmjv6vfn68jut5
49,3753,Lyz#7138,Humannode,Completed,False,2021-08-17 11:08:00,Humannode,agoric12qzzch74zcvcumkp5u9tuyycr4n5lm7me0xrtr
50,3731,Maxereum#0414,agosabe,Completed,False,2021-08-17 06:10:00,agosabe,agoric1c0hng3x503hrcr6kdg7e5ycy9f08q70g490ns5
51,3736,MikeSh#8650,Planemo,Completed,False,2021-08-17 06:48:00,Planemo,agoric1q6u4604ytuvgavvejrv9mw70y0gmcqexu4d690
52,3743,MotokiTakahashi#5208,gumi,Completed,False,2021-08-17 08:29:00,gumi,agoric1rk92lchm7jjj5cunpzmzsj7pjgj4zt47k3t703
53,3719,NAD010286#6785,Blockshark,Completed,False,2021-08-17 01:01:00,Blockshark,agoric1umzcmvjyqtmsn2lam5z0xu6pxrxj3ve6m0rpcw
54,3738,OranG3#1415,OranG3cluB,Completed,False,2021-08-17 07:08:00,OranG3cluB,agoric1katjupngangef79jd4pxyw4t3x7tts4upx3wuy
55,3681,Pavel#9755,PDPnodeTestnet,Obsolete,False,2021-08-16 13:09:00,PDPnodeTestnet,agoric170ndae8cpvdq7wu06w77qj5ku4hk378e737lft
56,3693,Pavel#9755,PDPnodeTestnet,Completed,False,2021-08-16 15:45:00,PDPnodeTestnet,agoric170ndae8cpvdq7wu06w77qj5ku4hk378e737lft
57,3748,Provalidator#0794,Provalidator,Completed,False,2021-08-17 09:32:00,Provalidator,agoric1xvz54pusznw8t76985kl3v2epduhyuscnd306s
58,3699,Quebs#5054,SwissAgoric.org,Completed,False,2021-08-16 16:50:00,SwissAgoric.org,agoric1pqulm3gs6unchqwvyfdvavht8mdhdervmvgtya
59,3739,Restyle#3072,neonodes,Completed,False,2021-08-17 07:14:00,neonodes,agoric14wzlyfwrfa7ac09xalm458cxckh3u2uqwrradl
60,3774,Rok#8697,qubelabs,Completed,False,2021-08-17 12:26:00,qubelabs,agoric1urye5nn877mvgacjymy5tvlvcy544l2vld3rat
61,3800,SK#5262,SK123,Completed,False,2021-08-17 15:33:00,SK123,agoric1v3xkks6535jyak88qh234nmla6dx090pyqsu3l
